Date,Tournament,Surface,Rd,Rk,vRk,meta_info,Score,Observed Player Name,Opponent Player Name,Observed Player W/L,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
28‑Aug‑2000,US Open,Hard,R128,40,89,Federer d. Peter Wessels [NED],4-6 4-6 6-3 7-5 3-4 RET,Roger Federer,Peter Wessels,W,,0.87,10.0%,6.0%,56.7%,72.9%,58.5%,5/8,2:32
14‑Aug‑2000,Indianapolis,Hard,R64,40,191,James Sekulov [AUS] d. Federer,6-4 7-5,Roger Federer,James Sekulov,L,,0.81,2.8%,6.9%,52.8%,71.1%,41.2%,6/10,1:22
7‑Aug‑2000,Cincinnati Masters,Hard,R64,39,43,Francisco Clavet [ESP] d. Federer,7-6(3) 7-6(4),Roger Federer,Francisco Clavet,L,,0.83,7.9%,6.7%,62.9%,75.0%,45.5%,3/4,1:40
31‑Jul‑2000,Canada Masters,Hard,R64,38,10,(7)Lleyton Hewitt [AUS] d. Federer,3-6 6-3 6-2,Roger Federer,Lleyton Hewitt,L,,0.82,14.9%,2.0%,51.5%,71.2%,42.9%,7/11,1:59
21‑Jul‑2000,Davis Cup WG PO: SUI vs BLR,Carpet,RR,39,69,Federer d. Vladimir Voltchkov [BLR],4-6 7-5 7-6(1) 5-7 6-2,Roger Federer,Vladimir Voltchkov,W,,,,,,,,,
10‑Jul‑2000,Gstaad,Clay,R32,39,10,(1)Alex Corretja [ESP] d. Federer,6-4 4-6 6-4,Roger Federer,Alex Corretja,L,,0.82,6.9%,4.3%,54.3%,68.3%,49.1%,7/10,2:17
26‑Jun‑2000,Wimbledon,Grass,R128,35,5,(5)Yevgeny Kafelnikov [RUS] d. Federer,7-5 7-5 7-6(6),Roger Federer,Yevgeny Kafelnikov,L,(ch),0.94,8.7%,1.7%,58.3%,64.2%,58.3%,2/7,2:08
19‑Jun‑2000,Nottingham,Grass,R32,35,71,Richard Fromberg [AUS] d. (7)Federer,7-5 6-1,Roger Federer,Richard Fromberg,L,,0.71,4.8%,6.5%,66.1%,61.0%,47.6%,7/10,1:07
12‑Jun‑2000,Halle,Grass,QF,38,28,Michael Chang [USA] d. Federer,7-5 6-2,Roger Federer,Michael Chang,L,,0.83,13.3%,5.0%,60.0%,72.2%,37.5%,4/8,1:11
12‑Jun‑2000,Halle,Grass,R16,38,49,Federer d. Magnus Larsson [SWE],6-2 6-3,Roger Federer,Magnus Larsson,W,,2.23,22.0%,2.4%,48.8%,90.0%,66.7%,0/0,0:42
12‑Jun‑2000,Halle,Grass,R32,38,57,Federer d. Arnaud Clement [FRA],6-4 6-2,Roger Federer,Arnaud Clement,W,,1.45,5.4%,7.1%,66.1%,78.4%,42.1%,0/2,1:09
29‑May‑2000,Roland Garros,Clay,R16,54,10,(10)Alex Corretja [ESP] d. Federer,7-5 7-6(7) 6-2,Roger Federer,Alex Corretja,L,(ch),0.73,7.1%,4.8%,58.7%,71.6%,34.6%,9/14,2:36
29‑May‑2000,Roland Garros,Clay,R32,54,120,Federer d. (Q)Michel Kratochvil [SUI],7-6(5) 6-4 2-6 6-7(4) 8-6,Roger Federer,Michel Kratochvil,W,,1.12,7.8%,3.9%,56.4%,74.3%,51.3%,10/16,4:25
29‑May‑2000,Roland Garros,Clay,R64,54,69,Federer d. Jan Michael Gambill [USA],7-6(5) 6-3 6-3,Roger Federer,Jan Michael Gambill,W,,1.18,6.5%,2.4%,64.5%,70.0%,56.8%,9/10,2:12
29‑May‑2000,Roland Garros,Clay,R128,54,106,Federer d. Wayne Arthurs [AUS],7-6(4) 6-3 1-6 6-3,Roger Federer,Wayne Arthurs,W,,0.98,3.7%,3.0%,59.3%,73.8%,56.4%,11/13,2:27
22‑May‑2000,St. Poelten,Clay,R32,54,94,Markus Hantschk [GER] d. (8)Federer,6-2 6-1,Roger Federer,Markus Hantschk,L,,0.36,3.1%,3.1%,56.3%,52.8%,35.7%,6/11,0:54
